№;ID;СТАТУС;СЧЁТ-ФАКТУРА;ТИП ЭСФ;ДОГОВОР;ПРОДАВЕЦ (ИНН ИЛИ ПИНФЛ);ПРОДАВЕЦ (НАИМЕНОВАНИЕ);ПРОДАВЕЦ (КОД ФИЛИАЛА);ПРОДАВЕЦ (НАЗВАНИЕ ФИЛИАЛА);ПОКУПАТЕЛЬ (ИНН ИЛИ ПИНФЛ);ПОКУПАТЕЛЬ (НАИМЕНОВАНИЕ);ПОКУПАТЕЛЬ (КОД ФИЛИАЛА);ПОКУПАТЕЛЬ (НАЗВАНИЕ ФИЛИАЛА);СУММА К ОПЛАТЕ;ПРИМЕЧАНИЕ
1;642b7163f143b88aa5207848;Ожидает подписи партнёра;396 от 03.04.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;148999,94;
2;642b70f827083553a92e1c6f;Ожидает подписи партнёра;396 от 03.04.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;148999,94;
3;640ca880391fd30a58ee483a;Подтверждён;268 от 11.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;1031799,86;
4;640ecc5c237d3a7556d33dca;Подтверждён;275 от 13.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;289999,79;
5;64184f32c315331744593b5c;Подтверждён;324 от 18.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;620299,74;
6;6418502db222da61f0dcd3f3;Подтверждён;325 от 20.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;635199,95;
7;641b14a80d53969d77e0407d;Подтверждён;333 от 22.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;404099,86;
8;641daf9e3a52e86381b948bf;Подтверждён;336 от 24.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;114999,92;
9;64210636b2372cd5ce6f74e7;Подтверждён;346 от 26.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;59999,97;
10;64210750a577a7d0af89b58c;Подтверждён;347 от 27.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;531439,71;
11;641b13ee221fb5d54f954ce0;Подтверждён;332 от 21.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;343899,99;
12;641c873b0d53969d77e10e05;Подтверждён;334 от 23.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;412749,86;
13;64142114c315331744581059;Подтверждён;301 от 16.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;470999,86;
14;641421948b0acebb2a803f7f;Подтверждён;302 от 17.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;590499,91;
15;64118dc5221fb5d54f92342c;Подтверждён;297 от 15.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;324899,99;
16;64118e6e880a466940d1a9f1;Подтверждён;296 от 14.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;587299,89;
17;640b5fc0391fd30a58ed9261;Подтверждён;267 от 10.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;768899,85;
18;641ee721a718a7413b00552a;Подтверждён;337 от 25.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;729139,81;
19;6424459b71621839afaa4e17;Подтверждён;370 от 29.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;29999,98;
20;64226a4bf87c739936838769;Подтверждён;359 от 28.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;561059,74;
21;6425b0995d5b96494f4908bd;Подтверждён;371 от 30.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;167999,97;
22;64264c9971621839afac7879;Подтверждён;372 от 31.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;545479,66;
23;6427e559867a8ea492c3b616;Подтверждён;380 от 01.04.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;445980,87;
24;640ecb67247b0959fadb4c1c;Отменено;275 от 13.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;289999,79;
25;64088d3f9831a979f573cf1a;Подтверждён;256 от 08.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;351199,96;
26;640a125cce76cba2e656b025;Подтверждён;260 от 09.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;511499,87;
27;6406eb6c98239ac6b4f08c55;Подтверждён;242 от 07.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;826559,75;
28;6403861d2b7cfa4f8a5849a0;Подтверждён;236 от 03.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;217695,97;
29;640387a0b62eec67a4c19b76;Подтверждён;237 от 04.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;508851,16;
30;64059cc6b940330a09932753;Подтверждён;241 от 06.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;990999,75;
31;6400bea5d2271fbdbf0ce489;Подтверждён;230 от 02.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;392417,54;
32;63ff6b377d20d054589fc65b;Подтверждён;223 от 01.03.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;789647,95;
33;63fcc91f952b69e09b145b36;Подтверждён;195 от 27.02.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;1262480,61;
34;63f5f645c811c694b090d33b;Подтверждён;173 от 21.02.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;725088;
35;63f5f77eb44f480bd9f9fc59;Подтверждён;174 от 22.02.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;677801,6;
36;63f77772dd552e763d51883a;Подтверждён;180 от 23.02.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;309120;
37;63f8d23bcf1315402ad92b6a;Подтверждён;181 от 24.02.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;888160;
38;63f98ab4b964a05cc8d71cfa;Подтверждён;190 от 25.02.2023;Standart;29 от 20.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;305218332;"""PRIME  ECO FOODS"" MCHJ";;;593600;
